Neutral, BBC News Amazon boss Jeff Bezos rejects claims company acted like a 'drug dealer'
Negative, @Microsoft Why do I pay for WORD when it functions so poorly on my @SamsungUS Chromebook?
Negative, "CSGO matchmaking is so full of closet hacking, it's a truly awful game."
Neutral, Now the President is slapping Americans in the face that he really did commit an unlawful act after his acquittal!
Negative, "Hi @EAHelp I’ve had Madeleine McCann in my cellar for the past 13 years and the little sneaky thing just escaped whilst I was loading up some fifa points, she took my card and I’m having to use my paypal account but it isn’t working, can you help me resolve it please?"
Positive, "Rocket League, Sea of Thieves or Rainbow Six: Siege? I love playing all three on stream but which is the best? #stream #twitch #RocketLeague #SeaOfThieves #RainbowSixSiege #follow"
Positive, my ass still knee-deep in Assassins Creed Odyssey with no way out anytime soon lmao
Negative, FIX IT JESUS! Please FIX IT! What In the world is going on here.
Positive, The professional dota 2 scene is exploding and I completely welcome it. Get the garbage out.
Positive, Itching to assassinate #TCCGif #AssassinsCreedBlackFlag #AssassinsCreed #TheCapturedCollective
Negative, "@FredTJoseph hey fred, Comcast cut the cable and now Verizon stays calling me to shut that too"
Neutral, CSGO Wingman (I'm Silver don't bully)
Negative, @NBA2K game sucks... down by 2 with 38 seconds left and my team intentionally fouls
Positive, Congrats to the NVIDIA NeMo team for the 1.0.0 release candidate! Really excited to see NeMo embracing Hydra as the way to take control over the configuration madness that is machine learning! :)
Positive, yeah and it's fun
Negative, fuck my life
Positive, happy birthday red dead redemption that shit changed my life what a crazy experience
Negative, What does that say about Microsoft hardware & software security The Man gets hacked
Negative, "Finally played Rainbow Six Siege for the first time... I have to admit, I prefer it over pulling my hair out in CSGO any day."
Neutral, Umm @PlayApex when I died it said Bug This
Negative, Yo! @Verizon just added a $120 'fee' to my account under #COVID19 protection without my permission and I am forced to pay it! Check your bills carefully!
Negative, @Borderlands how do I submit a complaint? Your CEO isn't paying his staff their bonuses.
Positive, Watching NVIDIA position itself as not just a leading hardware manufacturer but also providing meaningful software to consumers is a remarkable thing of beauty. What an incredibly lead company with clear focus and goals. Well done @nvidia.
Positive, I don’t see how this looks like an Xbox controller but y’all will say anything. Anyway, this is fire.
Negative, "Johnson & Johnson, knowingly sold baby powder containing asbestos for decades and are now tasked with producing #COVID19 #vaccine... along with corporate criminals #Glaxosmithkline who received the 2nd largest fine in corporate history for their various crimes. Trust them?"
Positive, The things I would do for a @nvidia 3090... unspeakable!
Negative, Fortnite is running like ass.. fps drops everywhere wtf?
Neutral, "Great play dude, what a good optic for the mk2 Carbine too"
Neutral, I got the horses in the back #PS4live (Red Dead Redemption 2) live at
Positive, Just finished Assassins Creed Odyssey through @Shadow_Official @Shadow_NA from the beginning to the end. Thanks for the amazing gaming experience on your service
Neutral, "Solo Q and this freak is spinning as fast as he can to lower the FPS. I thought they took this bs out @Rainbow6Game"
Positive, "Our eldest has spent so long playing this new Call of Duty game, I’m not convinced he even knows what day it is, let alone how long lockdown has lasted.
